id,en,es
ITEM_CADET_CAP_HELM_NAME,"Cadet Cap Helm","Cadet Cap Helm"
ITEM_CADET_CAP_HELM_DESC,"A helmet with parade confidence and please dont bonk me protection.","A helmet with parade confidence and please dont bonk me protection."
ITEM_CANDLEKEEP_VISOR_NAME,"Candlekeep Visor","Candlekeep Visor"
ITEM_CANDLEKEEP_VISOR_DESC,"Keeps wax out of your eyes and judgment out of your head.","Keeps wax out of your eyes and judgment out of your head."
ITEM_MISTWARDEN_OWL_HELM_NAME,"Mistwarden Owl Helm","Mistwarden Owl Helm"
ITEM_MISTWARDEN_OWL_HELM_DESC,"Looks wise. Feels damp. Works anyway.","Looks wise. Feels damp. Works anyway."
ITEM_ETIQUETTE_CREST_HELM_NAME,"Crested Etiquette Helm","Crested Etiquette Helm"
ITEM_ETIQUETTE_CREST_HELM_DESC,"Polished to reflect light and questionable choices.","Polished to reflect light and questionable choices."
ITEM_OATH_BONEPLATED_HELM_NAME,"Boneplated Helm","Boneplated Helm"
ITEM_OATH_BONEPLATED_HELM_DESC,"Not bone. Definitely not bone. Dont ask.","Not bone. Definitely not bone. Dont ask."
ITEM_AFTERPARTY_KETTLE_HELM_NAME,"Afterparty Kettle Helm","Afterparty Kettle Helm"
ITEM_AFTERPARTY_KETTLE_HELM_DESC,"For rain, confetti, and surprise hero interviews.","For rain, confetti, and surprise hero interviews."
ITEM_CADET_TRAIL_BOOTS_NAME,"Cadet Trail Boots","Cadet Trail Boots"
ITEM_CADET_TRAIL_BOOTS_DESC,"They squeak heroically. The dungeon pretends not to notice.","They squeak heroically. The dungeon pretends not to notice."
ITEM_CANDLEKEEP_CINDER_STEPS_NAME,"Cinder Steps","Cinder Steps"
ITEM_CANDLEKEEP_CINDER_STEPS_DESC,"Warm soles, cooler exits.","Warm soles, cooler exits."
ITEM_MISTWARDEN_MUDWALKERS_NAME,"Mudwalkers","Mudwalkers"
ITEM_MISTWARDEN_MUDWALKERS_DESC,"Built to outrun regret on wet stone.","Built to outrun regret on wet stone."
ITEM_ETIQUETTE_PARADE_GREAVES_NAME,"Parade Greaves","Parade Greaves"
ITEM_ETIQUETTE_PARADE_GREAVES_DESC,"March-ready. Dungeon-ready. Dance-floor questionable.","March-ready. Dungeon-ready. Dance-floor questionable."
ITEM_OATH_SILENT_SABATONS_NAME,"Silent Sabatons","Silent Sabatons"
