id,en,es
TRAIT_BRUTE_FORCE_NAME,Brute Force,Fuerza bruta
TRAIT_BRUTE_FORCE_DESCRIPTION,Damage +1.,Daño +1.
TRAIT_DIVINE_VIGOR_NAME,Divine Vigor,Vigor divino
TRAIT_DIVINE_VIGOR_DESCRIPTION,Max HP +2.,Vida máxima +2.
TRAIT_HOLY_MIND_NAME,Holy Mind,Mente sagrada
TRAIT_HOLY_MIND_DESCRIPTION,Max HP x1.4.,Vida máxima x1.4.
TRAIT_HOLY_STRENGTH_NAME,Holy Strength,Fuerza sagrada
TRAIT_HOLY_STRENGTH_DESCRIPTION,Damage x1.5.,Daño x1.5.
TRAIT_SHARP_EDGE_NAME,Sharp Edge,Filo agudo
TRAIT_SHARP_EDGE_DESCRIPTION,Damage +2.,Daño +2.
